S/N,Month,Year,Man. PMI,Non-Man. PMI,CPI,Retail Sales,Trading Balance,Employment Change,Uemployment Rate,Hourly Earning,FOMC Rates,,
1,January,2012,53.9,52.6,0.00%,0.10%,-47.8,200,8.50%,0.20%,0.25%,,
2,February,2012,54.1,56.8,0.20%,0.40%,-48.8,243,8.30%,0.20%,0.25%,,
3,March,2012,52.4,57.3,0.40%,1.10%,-52.6,227,8.30%,0.10%,0.25%,,
4,April,2012,53.4,56,0.30%,0.80%,-46,120,8.20%,0.20%,0.25%,,
5,May,2012,54.8,53.5,0.00%,0.10%,-51.8,115,8.10%,0.00%,0.25%,,
6,June,2012,53.5,53.7,-0.30%,-0.20%,-50.1,69,8.20%,0.10%,0.25%,,
7,July,2012,49.7,52.1,0.00%,-0.50%,-48.7,80,8.20%,0.30%,0.25%,,
8,August,2012,49.8,52.6,0.00%,0.80%,-42.9,163,8.30%,0.10%,0.25%,,
9,September,2012,49.6,53.7,0.60%,0.90%,-42,96,8.10%,0.00%,0.25%,,
10,October ,2012,51.5,55.1,0.60%,1.10%,-44.2,114,7.80%,0.30%,0.25%,,
11,November,2012,51.7,54.2,0.10%,-0.30%,-41.5,171,7.90%,0.00%,0.25%,,
12,December,2012,49.5,54.7,-0.30%,0.30%,-42.2,146,7.70%,0.20%,0.25%,,
13,January,2013,50.7,56.1,0.00%,0.50%,-48.7,155,7.80%,0.30%,0.25%,,
14,February,2013,53.1,55.2,0.00%,0.10%,-38.5,157,7.90%,0.20%,0.25%,,
15,March,2013,54.2,56,0.70%,1.10%,-44.4,236,7.70%,0.20%,0.25%,,
16,April,2013,51.3,54.4,-0.20%,-0.40%,-43,88,7.60%,0.00%,0.25%,,
17,May,2013,50.7,53.1,-0.40%,0.10%,-38.8,165,7.50%,0.20%,0.25%,,
18,June,2013,49,53.7,0.10%,0.60%,-40.3,175,7.60%,0.00%,0.25%,,
19,July,2013,50.9,52.2,0.50%,0.40%,-45,195,7.60%,0.40%,0.25%,,
20,August,2013,55.4,56,0.20%,0.20%,-34.2,162,7.40%,-0.10%,0.25%,,
21,September,2013,55.7,58.6,0.10%,0.20%,-39.1,169,7.30%,0.20%,0.25%,,
22,October ,2013,56.2,54.4,0.20%,-0.10%,-38.8,148,7.20%,0.10%,0.25%,,
23,November,2013,56.4,55.4,-0.10%,0.40%,-41.8,204,7.30%,0.10%,0.25%,,
24,December,2013,57.3,53.9,0.00%,0.70%,-40.6,203,7.00%,0.20%,0.25%,,
25,January,2014,57,53,0.30%,0.20%,-34.3,74,6.70%,0.10%,0.25%,,
26,February,2014,51.3,54,0.10%,-0.40%,-38.7,113,6.60%,0.20%,0.25%,,
27,March,2014,53.2,51.6,0.10%,0.30%,-39.1,175,6.70%,0.40%,0.25%,,
28,April,2014,53.7,53.1,0.20%,1.10%,-42.3,192,6.70%,0.00%,0.25%,,
