S/N,Month,Year,Man. PMI,Non-Man. PMI,CPI,Retail Sales,Trading Balance,FOMC Rates,Employment Change,Hourly Earning,Uemployment Rate,
1,January,2012,53.9,52.6,0.00%,0.20%,-43.5,0.25%,200,0.20%,8.50%,
2,February,2012,54.1,56.8,0.00%,0.10%,-47.8,0.25%,243,0.20%,8.30%,
3,March,2012,52.4,57.3,0.20%,0.40%,-48.8,0.25%,227,0.10%,8.30%,
4,April,2012,53.4,56,0.40%,1.10%,-52.6,0.25%,120,0.20%,8.20%,
5,May,2012,54.8,53.5,0.30%,0.80%,-46,0.25%,115,0.00%,8.10%,
6,June,2012,53.5,53.7,0.00%,0.10%,-51.8,0.25%,69,0.10%,8.20%,
7,July,2012,49.7,52.1,-0.30%,-0.20%,-50.1,0.25%,80,0.30%,8.20%,
8,August,2012,49.8,52.6,0.00%,-0.50%,-48.7,0.25%,163,0.10%,8.30%,
9,September,2012,49.6,53.7,0.00%,0.80%,-42.9,0.25%,96,0.00%,8.10%,
10,October ,2012,51.5,55.1,0.60%,0.90%,-42,0.25%,114,0.30%,7.80%,
11,November,2012,51.7,54.2,0.60%,1.10%,-44.2,0.25%,171,0.00%,7.90%,
12,December,2012,49.5,54.7,0.10%,-0.30%,-41.5,0.25%,146,0.20%,7.70%,
13,January,2013,50.7,56.1,-0.30%,0.30%,-42.2,0.25%,155,0.30%,7.80%,
14,February,2013,53.1,55.2,0.00%,0.50%,-48.7,0.25%,157,0.20%,7.90%,
15,March,2013,54.2,56,0.00%,0.10%,-38.5,0.25%,236,0.20%,7.70%,
16,April,2013,51.3,54.4,0.70%,1.10%,-44.4,0.25%,88,0.00%,7.60%,
17,May,2013,50.7,53.1,-0.20%,-0.40%,-43,0.25%,165,0.20%,7.50%,
18,June,2013,49,53.7,-0.40%,0.10%,-38.8,0.25%,175,0.00%,7.60%,
19,July,2013,50.9,52.2,0.10%,0.60%,-40.3,0.25%,195,0.40%,7.60%,
20,August,2013,55.4,56,0.50%,0.40%,-45,0.25%,162,-0.10%,7.40%,
21,September,2013,55.7,58.6,0.20%,0.20%,-34.2,0.25%,169,0.20%,7.30%,
22,October ,2013,56.2,54.4,0.10%,0.20%,-39.1,0.25%,148,0.10%,7.20%,
23,November,2013,56.4,55.4,0.20%,-0.10%,-38.8,0.25%,204,0.10%,7.30%,
24,December,2013,57.3,53.9,-0.10%,0.40%,-41.8,0.25%,203,0.20%,7.00%,
25,January,2014,57,53,0.00%,0.70%,-40.6,0.25%,74,0.10%,6.70%,
26,February,2014,51.3,54,0.30%,0.20%,-34.3,0.25%,113,0.20%,6.60%,
27,March,2014,53.2,51.6,0.10%,-0.40%,-38.7,0.25%,175,0.40%,6.70%,
28,April,2014,53.7,53.1,0.10%,0.30%,-39.1,0.25%,192,0.00%,6.70%,
29,May,2014,54.9,55.2,0.20%,1.10%,-42.3,0.25%,288,0.00%,6.30%,
30,June,2014,55.4,56.3,0.30%,0.10%,-40.4,0.25%,217,0.20%,6.30%,
31,July,2014,55.3,56,0.40%,0.30%,-47.2,0.25%,288,0.20%,6.10%,
32,August,2014,57.1,58.7,0.30%,0.20%,-44.4,0.25%,209,0.00%,6.20%,
33,September,2014,59,59.6,0.10%,0.00%,-41.5,0.25%,142,0.20%,6.10%,
34,October ,2014,56.6,58.6,-0.20%,0.60%,-40.5,0.25%,248,0.00%,5.90%,
35,November,2014,59,57.1,0.10%,-0.30%,-40.1,0.25%,214,0.10%,5.80%,
36,December,2014,58.7,59.3,0.00%,0.30%,-43,0.25%,321,0.40%,5.80%,
37,January,2015,55.5,56.2,-0.30%,0.70%,-43.4,0.25%,252,-0.20%,5.60%,
38,February,2015,53.5,56.7,-0.40%,-0.90%,-39,0.25%,257,0.50%,5.70%,
39,March,2015,52.9,56.9,-0.70%,-0.80%,-46.6,0.25%,295,0.10%,5.50%,
40,April,2015,51.5,56.5,0.20%,-0.60%,-41.8,0.25%,126,0.30%,5.50%,
41,May,2015,51.5,57.8,0.20%,0.90%,-35.4,0.25%,223,0.10%,5.40%,
42,June,2015,52.8,55.7,0.10%,0.00%,-51.4,0.25%,280,0.30%,5.50%,
